linestring,code,distance,grammesCO2saved,route_name,from,to
"[-5.93083,54.59726],[-5.93045,54.59727],[-5.93014,54.59728],[-5.93003,54.59729],[-5.93017,54.59739],[-5.93021,54.59745],[-5.93030,54.59820],[-5.93034,54.59853],[-5.93042,54.59907],[-5.93036,54.59918],[-5.93031,54.59928],[-5.93034,54.59937],[-5.93036,54.59944],[-5.93073,54.60014],[-5.93099,54.60067],[-5.93115,54.60103],[-5.93149,54.60192],[-5.93156,54.60211],[-5.93201,54.60220],[-5.93303,54.60246],[-5.93313,54.60249],[-5.93340,54.60213]",39023913,755,141,City Hall to Smithfield / Winetavern Street,City Hall ,Smithfield / Winetavern Street
"[-5.93083,54.59726],[-5.93045,54.59727],[-5.93014,54.59728],[-5.93003,54.59729],[-5.93017,54.59739],[-5.93021,54.59745],[-5.93030,54.59820],[-5.93034,54.59853],[-5.93042,54.59907],[-5.93036,54.59918],[-5.93031,54.59928],[-5.93034,54.59937],[-5.93036,54.59944],[-5.93073,54.60014],[-5.93099,54.60067],[-5.93115,54.60103],[-5.93149,54.60192],[-5.93156,54.60211],[-5.93105,54.60265],[-5.93083,54.60285],[-5.93069,54.60297],[-5.93040,54.60319],[-5.93017,54.60336],[-5.92994,54.60359],[-5.92974,54.60379]",39023914,823,153,City Hall to Cathedral Gardens / York Street,City Hall ,Cathedral Gardens / York Street
"[-5.93083,54.59726],[-5.93045,54.59727],[-5.93014,54.59728],[-5.93003,54.59729],[-5.93017,54.59739],[-5.93021,54.59745],[-5.93030,54.59820],[-5.93034,54.59853],[-5.93042,54.59907],[-5.93036,54.59918],[-5.93031,54.59928],[-5.93034,54.59937],[-5.93036,54.59944],[-5.93073,54.60014],[-5.93099,54.60067],[-5.93115,54.60103],[-5.93149,54.60192],[-5.93156,54.60211],[-5.93105,54.60265],[-5.93150,54.60278],[-5.93254,54.60308],[-5.93225,54.60342],[-5.93193,54.60384],[-5.93226,54.60419],[-5.93255,54.60450],[-5.93267,54.60463],[-5.93288,54.60481],[-5.93299,54.60492]",39023915,1007,188,City Hall to Carrick Hill / St Patricks Church,City Hall ,Carrick Hill / St Patricks Church
"[-5.93083,54.59726],[-5.93045,54.59727],[-5.93014,54.59728],[-5.93003,54.59729],[-5.92938,54.59732],[-5.92894,54.59733],[-5.92872,54.59734],[-5.92887,54.59859],[-5.92926,54.59857],[-5.92907,54.59883],[-5.92859,54.59926],[-5.92852,54.59931],[-5.92878,54.59938],[-5.92849,54.59950],[-5.92804,54.59965],[-5.92774,54.59974],[-5.92753,54.59980],[-5.92737,54.59985],[-5.92717,54.59992],[-5.92666,54.60009],[-5.92613,54.60027],[-5.92594,54.60034],[-5.92577,54.60039],[-5.92562,54.60044],[-5.92494,54.60066],[-5.92460,54.60072],[-5.92485,54.60136],[-5.92493,54.60152],[-5.92505,54.60182],[-5.92525,54.60225],[-5.92545,54.60229],[-5.92559,54.60232]",39023916,921,172,City Hall to Dunbar Link / Gordon Street,City Hall ,Dunbar Link / Gordon Street
"[-5.93083,54.59726],[-5.93045,54.59727],[-5.93014,54.59728],[-5.93003,54.59729],[-5.92938,54.59732],[-5.92894,54.59733],[-5.92872,54.59734],[-5.92887,54.59859],[-5.92926,54.59857],[-5.92907,54.59883],[-5.92859,54.59926],[-5.92852,54.59931],[-5.92878,54.59938],[-5.92849,54.59950],[-5.92804,54.59965],[-5.92774,54.59974],[-5.92753,54.59980],[-5.92813,54.60046],[-5.92822,54.60054],[-5.92838,54.60069]",39023917,619,115,City Hall to North Street / Waring Street,City Hall ,North Street / Waring Street
"[-5.93083,54.59726],[-5.93045,54.59727],[-5.93014,54.59728],[-5.93003,54.59729],[-5.92938,54.59732],[-5.92920,54.59730],[-5.92902,54.59725],[-5.92892,54.59721],[-5.92872,54.59706],[-5.92871,54.59702],[-5.92869,54.59684],[-5.92867,54.59660],[-5.92864,54.59632],[-5.92860,54.59606],[-5.92852,54.59553],[-5.92990,54.59546],[-5.92985,54.59502],[-5.92974,54.59415],[-5.92959,54.59292],[-5.92985,54.59245],[-5.93037,54.59253],[-5.93148,54.59274]",39023918,854,159,City Hall to Bankmore Square / Dublin Road,City Hall ,Bankmore Square / Dublin Road
"[-5.93083,54.59726],[-5.93107,54.59725],[-5.93142,54.59719],[-5.93152,54.59714],[-5.93157,54.59709],[-5.93161,54.59704],[-5.93158,54.59672],[-5.93155,54.59644],[-5.93171,54.59643],[-5.93202,54.59642],[-5.93319,54.59637],[-5.93318,54.59633],[-5.93466,54.59627],[-5.93467,54.59637],[-5.93474,54.59710],[-5.93482,54.5971]",39023919,431,80,City Hall to College Square East,City Hall ,College Square East
"[-5.93083,54.59726],[-5.93107,54.59725],[-5.93142,54.59719],[-5.93152,54.59714],[-5.93157,54.59709],[-5.93161,54.59704],[-5.93158,54.59672],[-5.93155,54.59644],[-5.93171,54.59643],[-5.93202,54.59642],[-5.93319,54.59637],[-5.93327,54.59717],[-5.93334,54.59798],[-5.93332,54.59809],[-5.93323,54.59841],[-5.93308,54.59893],[-5.93302,54.59921],[-5.93330,54.59923],[-5.93360,54.59924],[-5.93389,54.59925],[-5.93402,54.59925],[-5.93470,54.59928],[-5.93481,54.59942],[-5.93482,54.59946],[-5.93509,54.59943],[-5.93541,54.59946],[-5.93577,54.59949]",39023920,742,138,City Hall to Millfield / Divis Street,City Hall ,Millfield / Divis Street
"[-5.93083,54.59726],[-5.93045,54.59727],[-5.93014,54.59728],[-5.93003,54.59729],[-5.92938,54.59732],[-5.92894,54.59733],[-5.92872,54.59734],[-5.92887,54.59859],[-5.92926,54.59857],[-5.92907,54.59883],[-5.92859,54.59926],[-5.92852,54.59931],[-5.92878,54.59938],[-5.92849,54.59950],[-5.92804,54.59965],[-5.92774,54.59974],[-5.92753,54.59980],[-5.92737,54.59985],[-5.92717,54.59992],[-5.92666,54.60009],[-5.92613,54.60027],[-5.92594,54.60034],[-5.92577,54.60039],[-5.92562,54.60044],[-5.92494,54.60066],[-5.92460,54.60072],[-5.92442,54.60073],[-5.92425,54.60076],[-5.92333,54.60095],[-5.92224,54.60115],[-5.92213,54.60119],[-5.92210,54.60120],[-5.92173,54.60123],[-5.92096,54.60126],[-5.91982,54.60121],[-5.91922,54.60115],[-5.91904,54.60112],[-5.91895,54.60114],[-5.91883,54.60154],[-5.91880,54.60162],[-5.91884,54.60166],[-5.91894,54.60168],[-5.91901,54.60169],[-5.91903,54.60171],[-5.91901,54.60176],[-5.91890,54.60201],[-5.91866,54.60247],[-5.91860,54.60255],[-5.91825,54.60306],[-5.91784,54.60358],[-5.91776,54.60366],[-5.91756,54.60378],[-5.91744,54.60384],[-5.91726,54.60390]",39023921,1445,269,City Hall to Odyssey / Sydenham Road,City Hall ,Odyssey / Sydenham Road
"[-5.93083,54.59726],[-5.93045,54.59727],[-5.93014,54.59728],[-5.93003,54.59729],[-5.92938,54.59732],[-5.92894,54.59733],[-5.92872,54.59734],[-5.92887,54.59859],[-5.92926,54.59857],[-5.92907,54.59883],[-5.92859,54.59926],[-5.92852,54.59931],[-5.92878,54.59938],[-5.92849,54.59950],[-5.92804,54.59965],[-5.92774,54.59974],[-5.92753,54.59980],[-5.92737,54.59985],[-5.92717,54.59992],[-5.92666,54.60009],[-5.92613,54.60027],[-5.92594,54.60034],[-5.92577,54.60039],[-5.92562,54.60044],[-5.92494,54.60066],[-5.92460,54.60072],[-5.92442,54.60073],[-5.92425,54.60076],[-5.92333,54.60095],[-5.92224,54.60115],[-5.92213,54.60119],[-5.92210,54.60120],[-5.92215,54.60186],[-5.92210,54.60203],[-5.92201,54.60234],[-5.92162,54.60294],[-5.92133,54.60356],[-5.92090,54.60452],[-5.92121,54.60469],[-5.92136,54.60474],[-5.92124,54.60490],[-5.92103,54.60521],[-5.92111,54.60523],[-5.92125,54.60526],[-5.92143,54.60501]",39023922,1411,263,City Hall to Corporation Square,City Hall ,Corporation Square
