linestring,code,distance,grammesCO2saved,route_name,from,to
"[-5.92559,54.60232],[-5.92559,54.60227],[-5.92559,54.60211],[-5.92565,54.60209],[-5.92598,54.60211],[-5.92716,54.60220],[-5.92718,54.60213],[-5.92716,54.60207],[-5.92706,54.60195],[-5.92695,54.60182],[-5.92635,54.60120],[-5.92586,54.60068],[-5.92562,54.60044],[-5.92494,54.60066],[-5.92460,54.60072],[-5.92442,54.60073],[-5.92425,54.60076],[-5.92333,54.60095],[-5.92224,54.60115],[-5.92213,54.60119],[-5.92210,54.60120],[-5.92210,54.60115],[-5.92206,54.60096],[-5.92205,54.60092],[-5.92198,54.60070],[-5.92184,54.60053],[-5.92185,54.60053],[-5.92177,54.60045],[-5.92166,54.60037],[-5.92147,54.60028],[-5.92147,54.60021],[-5.92145,54.60010],[-5.92142,54.59963],[-5.92143,54.59960],[-5.92143,54.59954],[-5.92146,54.59947],[-5.92146,54.59936],[-5.92139,54.59875],[-5.92138,54.59873],[-5.92106,54.59872],[-5.92095,54.59872],[-5.92070,54.59854],[-5.92024,54.59818],[-5.92065,54.59803],[-5.92096,54.59766],[-5.92088,54.59755],[-5.92088,54.59738],[-5.92088,54.59725],[-5.92082,54.59717],[-5.92066,54.59704],[-5.92050,54.59696],[-5.92030,54.59691],[-5.92024,54.59653],[-5.92022,54.59649],[-5.92016,54.59649],[-5.92010,54.59649],[-5.92005,54.59648],[-5.92000,54.59645],[-5.91997,54.59642],[-5.91996,54.59639],[-5.91997,54.59636],[-5.91999,54.59633],[-5.92003,54.59630],[-5.92008,54.59628],[-5.92015,54.59628],[-5.92020,54.59628],[-5.92025,54.59629],[-5.92029,54.59631],[-5.92032,54.59634],[-5.92033,54.59637],[-5.92050,54.59636],[-5.92084,54.59635],[-5.92104,54.59635],[-5.92131,54.59634],[-5.92134,54.59559],[-5.92136,54.59553],[-5.92141,54.59548],[-5.92149,54.59543],[-5.92154,54.59541],[-5.92160,54.59539],[-5.92254,54.59533],[-5.92316,54.59528],[-5.92345,54.59522],[-5.92350,54.59521],[-5.92359,54.59518]",39163906,1573,293,Dunbar Link / Gordon Street to St George's Market / Cromac Square,Dunbar Link / Gordon Street ,St George's Market / Cromac Square
"[-5.92559,54.60232],[-5.92559,54.60227],[-5.92559,54.60211],[-5.92565,54.60209],[-5.92598,54.60211],[-5.92716,54.60220],[-5.92718,54.60213],[-5.92716,54.60207],[-5.92706,54.60195],[-5.92695,54.60182],[-5.92635,54.60120],[-5.92586,54.60068],[-5.92562,54.60044],[-5.92577,54.60039],[-5.92594,54.60034],[-5.92613,54.60027],[-5.92666,54.60009],[-5.92717,54.59992],[-5.92737,54.59985],[-5.92753,54.59980],[-5.92770,54.59970],[-5.92783,54.59966],[-5.92821,54.59953],[-5.92847,54.59944],[-5.92878,54.59938],[-5.92923,54.59933],[-5.93009,54.59924],[-5.93036,54.59918],[-5.93042,54.59907],[-5.93034,54.59853],[-5.93030,54.59820],[-5.93021,54.59745],[-5.93017,54.59739],[-5.93003,54.59729],[-5.92938,54.59732],[-5.92920,54.59730],[-5.92902,54.59725],[-5.92892,54.59721],[-5.92872,54.59706],[-5.92871,54.59702],[-5.92768,54.59707],[-5.92758,54.59630],[-5.92755,54.59611],[-5.92752,54.59610],[-5.92755,54.59608],[-5.92744,54.59512],[-5.92732,54.59422],[-5.92729,54.59387],[-5.92720,54.59316],[-5.92711,54.59242],[-5.92707,54.59241],[-5.92666,54.59232],[-5.92660,54.59231],[-5.92620,54.59222],[-5.92602,54.59218],[-5.92592,54.59215],[-5.92579,54.59212],[-5.92562,54.59203],[-5.92556,54.59211]",39163907,1708,318,Dunbar Link / Gordon Street to Gasworks (Cromac Street),Dunbar Link / Gordon Street ,Gasworks (Cromac Street)
"[-5.92559,54.60232],[-5.92559,54.60227],[-5.92559,54.60211],[-5.92565,54.60209],[-5.92598,54.60211],[-5.92716,54.60220],[-5.92718,54.60213],[-5.92716,54.60207],[-5.92706,54.60195],[-5.92695,54.60182],[-5.92635,54.60120],[-5.92586,54.60068],[-5.92562,54.60044],[-5.92494,54.60066],[-5.92460,54.60072],[-5.92442,54.60073],[-5.92425,54.60076],[-5.92333,54.60095],[-5.92224,54.60115],[-5.92213,54.60119],[-5.92210,54.60120],[-5.92210,54.60115],[-5.92206,54.60096],[-5.92205,54.60092],[-5.92198,54.60070],[-5.92184,54.60053],[-5.92185,54.60053],[-5.92177,54.60045],[-5.92166,54.60037],[-5.92147,54.60028],[-5.92147,54.60021],[-5.92145,54.60010],[-5.92142,54.59963],[-5.92143,54.59960],[-5.92143,54.59954],[-5.92146,54.59947],[-5.92146,54.59936],[-5.92139,54.59875],[-5.92138,54.59873],[-5.92106,54.59872],[-5.92095,54.59872],[-5.92070,54.59854],[-5.92024,54.59818],[-5.92065,54.59803],[-5.92096,54.59766],[-5.92088,54.59755],[-5.92088,54.59738],[-5.92088,54.59725]",39163908,1105,206,Dunbar Link / Gordon Street to Waterfront,Dunbar Link / Gordon Street ,Waterfront
"[-5.92559,54.60232],[-5.92559,54.60227],[-5.92559,54.60211],[-5.92565,54.60209],[-5.92598,54.60211],[-5.92716,54.60220],[-5.92718,54.60213],[-5.92716,54.60207],[-5.92706,54.60195],[-5.92695,54.60182],[-5.92635,54.60120],[-5.92586,54.60068],[-5.92562,54.60044],[-5.92577,54.60039],[-5.92594,54.60034],[-5.92613,54.60027],[-5.92666,54.60009],[-5.92717,54.59992],[-5.92737,54.59985],[-5.92753,54.59980],[-5.92770,54.59970],[-5.92783,54.59966],[-5.92821,54.59953],[-5.92847,54.59944],[-5.92878,54.59938],[-5.92923,54.59933],[-5.93009,54.59924],[-5.93036,54.59918],[-5.93042,54.59907],[-5.93034,54.59853],[-5.93030,54.59820],[-5.93021,54.59745],[-5.93017,54.59739],[-5.93003,54.59729],[-5.92938,54.59732],[-5.92920,54.59730],[-5.92902,54.59725],[-5.92892,54.59721],[-5.92872,54.59706],[-5.92871,54.59702],[-5.92869,54.59684],[-5.92867,54.59660],[-5.92864,54.59632],[-5.92860,54.59606],[-5.92852,54.59553],[-5.92990,54.59546],[-5.92985,54.59502],[-5.92974,54.59415],[-5.92959,54.59292],[-5.92985,54.59245],[-5.92994,54.59228],[-5.93003,54.59212],[-5.93009,54.59186],[-5.93014,54.59185],[-5.93034,54.59143],[-5.93058,54.59092],[-5.93068,54.59074],[-5.93113,54.58987],[-5.93113,54.58983],[-5.93112,54.58980],[-5.93172,54.58974],[-5.93197,54.58972],[-5.93230,54.58968],[-5.93291,54.58963],[-5.93347,54.58957],[-5.93365,54.58952],[-5.93369,54.58951],[-5.93362,54.58939],[-5.93361,54.58931]",39163909,2098,391,Dunbar Link / Gordon Street to Botanic Avenue / Shaftesbury Square,Dunbar Link / Gordon Street ,Botanic Avenue / Shaftesbury Square
"[-5.92559,54.60232],[-5.92559,54.60227],[-5.92559,54.60211],[-5.92565,54.60209],[-5.92598,54.60211],[-5.92716,54.60220],[-5.92718,54.60213],[-5.92716,54.60207],[-5.92706,54.60195],[-5.92695,54.60182],[-5.92635,54.60120],[-5.92586,54.60068],[-5.92562,54.60044],[-5.92577,54.60039],[-5.92594,54.60034],[-5.92613,54.60027],[-5.92666,54.60009],[-5.92717,54.59992],[-5.92737,54.59985],[-5.92753,54.59980],[-5.92770,54.59970],[-5.92783,54.59966],[-5.92821,54.59953],[-5.92847,54.59944],[-5.92878,54.59938],[-5.92923,54.59933],[-5.93009,54.59924],[-5.93036,54.59918],[-5.93051,54.59915],[-5.93149,54.59914],[-5.93302,54.59921],[-5.93330,54.59923],[-5.93360,54.59924],[-5.93389,54.59925],[-5.93392,54.59897],[-5.93404,54.59859],[-5.93413,54.59794],[-5.93334,54.59798],[-5.93327,54.59717],[-5.93319,54.59637],[-5.93318,54.59633],[-5.93313,54.59587],[-5.93306,54.59535],[-5.93302,54.59489],[-5.93303,54.59482]",39163910,1467,273,Dunbar Link / Gordon Street to Europa Bus Station / Blackstaff Square,Dunbar Link / Gordon Street ,Europa Bus Station / Blackstaff Square
"[-5.92559,54.60232],[-5.92559,54.60227],[-5.92559,54.60211],[-5.92565,54.60209],[-5.92598,54.60211],[-5.92716,54.60220],[-5.92718,54.60213],[-5.92716,54.60207],[-5.92706,54.60195],[-5.92695,54.60182],[-5.92635,54.60120],[-5.92586,54.60068],[-5.92562,54.60044],[-5.92577,54.60039],[-5.92594,54.60034],[-5.92613,54.60027],[-5.92666,54.60009],[-5.92717,54.59992],[-5.92737,54.59985],[-5.92753,54.59980],[-5.92770,54.59970],[-5.92783,54.59966],[-5.92821,54.59953],[-5.92847,54.59944],[-5.92878,54.59938],[-5.92923,54.59933],[-5.93009,54.59924],[-5.93036,54.59918],[-5.93051,54.59915],[-5.93149,54.59914],[-5.93302,54.59921],[-5.93330,54.59923],[-5.93360,54.59924],[-5.93389,54.59925],[-5.93392,54.59897],[-5.93404,54.59859],[-5.93413,54.59794],[-5.93334,54.59798],[-5.93327,54.59717],[-5.93319,54.59637],[-5.93318,54.59633],[-5.93313,54.59587],[-5.93306,54.59535],[-5.93302,54.59489],[-5.93302,54.59473],[-5.93302,54.59468],[-5.93307,54.59465],[-5.93317,54.59463],[-5.93359,54.59461],[-5.93442,54.59458],[-5.93440,54.59441],[-5.93439,54.59433],[-5.93426,54.59348]",39163911,1699,317,Dunbar Link / Gordon Street to Great Victoria Street / Hope Street,Dunbar Link / Gordon Street ,Great Victoria Street / Hope Street
"[-5.92559,54.60232],[-5.92559,54.60227],[-5.92559,54.60211],[-5.92565,54.60209],[-5.92598,54.60211],[-5.92716,54.60220],[-5.92718,54.60213],[-5.92716,54.60207],[-5.92706,54.60195],[-5.92695,54.60182],[-5.92635,54.60120],[-5.92586,54.60068],[-5.92562,54.60044],[-5.92577,54.60039],[-5.92594,54.60034],[-5.92613,54.60027],[-5.92666,54.60009],[-5.92717,54.59992],[-5.92737,54.59985],[-5.92753,54.59980],[-5.92770,54.59970],[-5.92783,54.59966],[-5.92821,54.59953],[-5.92847,54.59944],[-5.92878,54.59938],[-5.92923,54.59933],[-5.92981,54.59927]",39163912,653,122,Dunbar Link / Gordon Street to Castle Place / Royal Avenue,Dunbar Link / Gordon Street ,Castle Place / Royal Avenue
"[-5.92559,54.60232],[-5.92559,54.60227],[-5.92559,54.60211],[-5.92565,54.60209],[-5.92598,54.60211],[-5.92716,54.60220],[-5.92718,54.60213],[-5.92716,54.60207],[-5.92706,54.60195],[-5.92695,54.60182],[-5.92635,54.60120],[-5.92742,54.60083],[-5.92763,54.60079],[-5.92784,54.60072],[-5.92805,54.60064],[-5.92810,54.60059],[-5.92838,54.60069],[-5.92867,54.60089],[-5.93001,54.60149],[-5.93046,54.60168],[-5.93083,54.60184],[-5.93156,54.60211],[-5.93201,54.60220],[-5.93303,54.60246],[-5.93313,54.60249],[-5.93340,54.60213]",39163913,817,152,Dunbar Link / Gordon Street to Smithfield / Winetavern Street,Dunbar Link / Gordon Street ,Smithfield / Winetavern Street
"[-5.92559,54.60232],[-5.92574,54.60239],[-5.92602,54.60294],[-5.92613,54.60317],[-5.92615,54.60320],[-5.92661,54.60304],[-5.92673,54.60315],[-5.92677,54.60319],[-5.92675,54.60320],[-5.92704,54.60350],[-5.92707,54.60354],[-5.92709,54.60356],[-5.92709,54.60360],[-5.92696,54.60374],[-5.92704,54.60376],[-5.92733,54.60386],[-5.92778,54.60400],[-5.92790,54.60387],[-5.92858,54.60409],[-5.92865,54.60411],[-5.92921,54.60430],[-5.92974,54.60379]",39163914,471,88,Dunbar Link / Gordon Street to Cathedral Gardens / York Street,Dunbar Link / Gordon Street ,Cathedral Gardens / York Street
"[-5.92559,54.60232],[-5.92574,54.60239],[-5.92602,54.60294],[-5.92613,54.60317],[-5.92615,54.60320],[-5.92661,54.60304],[-5.92726,54.60281],[-5.92765,54.60318],[-5.92833,54.60340],[-5.92844,54.60328],[-5.92968,54.60287],[-5.92998,54.60317],[-5.93012,54.60321],[-5.93027,54.60321],[-5.93040,54.60319],[-5.93069,54.60297],[-5.93122,54.60312],[-5.93193,54.60384],[-5.93226,54.60419],[-5.93255,54.60450],[-5.93267,54.60463],[-5.93288,54.60481],[-5.93299,54.60492]",39163915,762,142,Dunbar Link / Gordon Street to Carrick Hill / St Patricks Church,Dunbar Link / Gordon Street ,Carrick Hill / St Patricks Church
"[-5.92559,54.60232],[-5.92559,54.60227],[-5.92559,54.60211],[-5.92565,54.60209],[-5.92598,54.60211],[-5.92716,54.60220],[-5.92718,54.60213],[-5.92716,54.60207],[-5.92706,54.60195],[-5.92695,54.60182],[-5.92635,54.60120],[-5.92742,54.60083],[-5.92763,54.60079],[-5.92784,54.60072],[-5.92805,54.60064],[-5.92810,54.60059],[-5.92838,54.60069]",39163917,404,75,Dunbar Link / Gordon Street to North Street / Waring Street,Dunbar Link / Gordon Street ,North Street / Waring Street
"[-5.92559,54.60232],[-5.92559,54.60227],[-5.92559,54.60211],[-5.92565,54.60209],[-5.92598,54.60211],[-5.92716,54.60220],[-5.92718,54.60213],[-5.92716,54.60207],[-5.92706,54.60195],[-5.92695,54.60182],[-5.92635,54.60120],[-5.92586,54.60068],[-5.92562,54.60044],[-5.92577,54.60039],[-5.92594,54.60034],[-5.92613,54.60027],[-5.92666,54.60009],[-5.92717,54.59992],[-5.92737,54.59985],[-5.92753,54.59980],[-5.92770,54.59970],[-5.92783,54.59966],[-5.92821,54.59953],[-5.92847,54.59944],[-5.92878,54.59938],[-5.92923,54.59933],[-5.93009,54.59924],[-5.93036,54.59918],[-5.93042,54.59907],[-5.93034,54.59853],[-5.93030,54.59820],[-5.93021,54.59745],[-5.93017,54.59739],[-5.93003,54.59729],[-5.92938,54.59732],[-5.92920,54.59730],[-5.92902,54.59725],[-5.92892,54.59721],[-5.92872,54.59706],[-5.92871,54.59702],[-5.92869,54.59684],[-5.92867,54.59660],[-5.92864,54.59632],[-5.92860,54.59606],[-5.92852,54.59553],[-5.92990,54.59546],[-5.92985,54.59502],[-5.92974,54.59415],[-5.92959,54.59292],[-5.92985,54.59245],[-5.93037,54.59253],[-5.93148,54.59274]",39163918,1708,318,Dunbar Link / Gordon Street to Bankmore Square / Dublin Road,Dunbar Link / Gordon Street ,Bankmore Square / Dublin Road
"[-5.92559,54.60232],[-5.92559,54.60227],[-5.92559,54.60211],[-5.92565,54.60209],[-5.92598,54.60211],[-5.92716,54.60220],[-5.92718,54.60213],[-5.92716,54.60207],[-5.92706,54.60195],[-5.92695,54.60182],[-5.92635,54.60120],[-5.92586,54.60068],[-5.92562,54.60044],[-5.92577,54.60039],[-5.92594,54.60034],[-5.92613,54.60027],[-5.92666,54.60009],[-5.92717,54.59992],[-5.92737,54.59985],[-5.92753,54.59980],[-5.92770,54.59970],[-5.92783,54.59966],[-5.92821,54.59953],[-5.92847,54.59944],[-5.92878,54.59938],[-5.92923,54.59933],[-5.93009,54.59924],[-5.93036,54.59918],[-5.93051,54.59915],[-5.93149,54.59914],[-5.93302,54.59921],[-5.93330,54.59923],[-5.93360,54.59924],[-5.93389,54.59925],[-5.93392,54.59897],[-5.93404,54.59859],[-5.93413,54.59794],[-5.93422,54.59794],[-5.93457,54.59793],[-5.93478,54.59787],[-5.93474,54.59710],[-5.93482,54.59710]",39163919,1200,224,Dunbar Link / Gordon Street to College Square East,Dunbar Link / Gordon Street ,College Square East
"[-5.92559,54.60232],[-5.92559,54.60227],[-5.92559,54.60211],[-5.92565,54.60209],[-5.92598,54.60211],[-5.92716,54.60220],[-5.92718,54.60213],[-5.92716,54.60207],[-5.92706,54.60195],[-5.92695,54.60182],[-5.92635,54.60120],[-5.92586,54.60068],[-5.92562,54.60044],[-5.92577,54.60039],[-5.92594,54.60034],[-5.92613,54.60027],[-5.92666,54.60009],[-5.92717,54.59992],[-5.92737,54.59985],[-5.92753,54.59980],[-5.92770,54.59970],[-5.92783,54.59966],[-5.92821,54.59953],[-5.92847,54.59944],[-5.92878,54.59938],[-5.92923,54.59933],[-5.93009,54.59924],[-5.93036,54.59918],[-5.93051,54.59915],[-5.93149,54.59914],[-5.93302,54.59921],[-5.93330,54.59923],[-5.93360,54.59924],[-5.93389,54.59925],[-5.93402,54.59925],[-5.93470,54.59928],[-5.93481,54.59942],[-5.93482,54.59946],[-5.93509,54.59943],[-5.93541,54.59946],[-5.93577,54.59949]",39163920,1053,196,Dunbar Link / Gordon Street to Millfield / Divis Street,Dunbar Link / Gordon Street ,Millfield / Divis Street
"[-5.92559,54.60232],[-5.92559,54.60227],[-5.92559,54.60211],[-5.92565,54.60209],[-5.92598,54.60211],[-5.92716,54.60220],[-5.92718,54.60213],[-5.92716,54.60207],[-5.92706,54.60195],[-5.92695,54.60182],[-5.92635,54.60120],[-5.92586,54.60068],[-5.92562,54.60044],[-5.92494,54.60066],[-5.92460,54.60072],[-5.92442,54.60073],[-5.92425,54.60076],[-5.92333,54.60095],[-5.92224,54.60115],[-5.92213,54.60119],[-5.92210,54.60120],[-5.92173,54.60123],[-5.92096,54.60126],[-5.91982,54.60121],[-5.91922,54.60115],[-5.91904,54.60112],[-5.91895,54.60114],[-5.91883,54.60154],[-5.91880,54.60162],[-5.91884,54.60166],[-5.91894,54.60168],[-5.91901,54.60169],[-5.91903,54.60171],[-5.91901,54.60176],[-5.91890,54.60201],[-5.91866,54.60247],[-5.91860,54.60255],[-5.91825,54.60306],[-5.91784,54.60358],[-5.91776,54.60366],[-5.91756,54.60378],[-5.91744,54.60384],[-5.91726,54.60390]",39163921,1145,213,Dunbar Link / Gordon Street to Odyssey / Sydenham Road,Dunbar Link / Gordon Street ,Odyssey / Sydenham Road
"[-5.92559,54.60232],[-5.92559,54.60227],[-5.92559,54.60211],[-5.92565,54.60209],[-5.92598,54.60211],[-5.92716,54.60220],[-5.92718,54.60213],[-5.92716,54.60207],[-5.92706,54.60195],[-5.92695,54.60182],[-5.92635,54.60120],[-5.92586,54.60068],[-5.92562,54.60044],[-5.92494,54.60066],[-5.92460,54.60072],[-5.92442,54.60073],[-5.92425,54.60076],[-5.92333,54.60095],[-5.92224,54.60115],[-5.92213,54.60119],[-5.92210,54.60120],[-5.92215,54.60186],[-5.92210,54.60203],[-5.92201,54.60234],[-5.92162,54.60294],[-5.92133,54.60356],[-5.92090,54.60452],[-5.92121,54.60469],[-5.92136,54.60474],[-5.92124,54.60490],[-5.92103,54.60521],[-5.92111,54.60523],[-5.92125,54.60526],[-5.92143,54.60501]",39163922,1111,207,Dunbar Link / Gordon Street to Corporation Square,Dunbar Link / Gordon Street ,Corporation Square
"[-5.92559,54.60232],[-5.92559,54.60227],[-5.92559,54.60211],[-5.92565,54.60209],[-5.92598,54.60211],[-5.92716,54.60220],[-5.92718,54.60213],[-5.92716,54.60207],[-5.92706,54.60195],[-5.92695,54.60182],[-5.92635,54.60120],[-5.92586,54.60068],[-5.92562,54.60044],[-5.92577,54.60039],[-5.92594,54.60034],[-5.92613,54.60027],[-5.92666,54.60009],[-5.92717,54.59992],[-5.92737,54.59985],[-5.92753,54.59980],[-5.92770,54.59970],[-5.92783,54.59966],[-5.92821,54.59953],[-5.92847,54.59944],[-5.92878,54.59938],[-5.92923,54.59933],[-5.93009,54.59924],[-5.93036,54.59918],[-5.93042,54.59907],[-5.93034,54.59853],[-5.93030,54.59820],[-5.93021,54.59745],[-5.93017,54.59739],[-5.93003,54.59729],[-5.92938,54.59732],[-5.92920,54.59730],[-5.92902,54.59725],[-5.92892,54.59721],[-5.92872,54.59706],[-5.92871,54.59702],[-5.92768,54.59707],[-5.92758,54.59630],[-5.92755,54.59611],[-5.92752,54.59610],[-5.92755,54.59608],[-5.92744,54.59512],[-5.92739,54.59470]",39163923,1337,249,Dunbar Link / Gordon Street to Alfred Street / St Malachy's Church,Dunbar Link / Gordon Street ,Alfred Street / St Malachy's Church
"[-5.92559,54.60232],[-5.92559,54.60227],[-5.92559,54.60211],[-5.92565,54.60209],[-5.92598,54.60211],[-5.92716,54.60220],[-5.92718,54.60213],[-5.92716,54.60207],[-5.92706,54.60195],[-5.92695,54.60182],[-5.92635,54.60120],[-5.92586,54.60068],[-5.92562,54.60044],[-5.92577,54.60039],[-5.92594,54.60034],[-5.92613,54.60027],[-5.92666,54.60009],[-5.92717,54.59992],[-5.92737,54.59985],[-5.92753,54.59980],[-5.92770,54.59970],[-5.92783,54.59966],[-5.92821,54.59953],[-5.92847,54.59944],[-5.92878,54.59938],[-5.92923,54.59933],[-5.93009,54.59924],[-5.93036,54.59918],[-5.93042,54.59907],[-5.93034,54.59853],[-5.93030,54.59820],[-5.93021,54.59745],[-5.93017,54.59739],[-5.93003,54.59729],[-5.92938,54.59732],[-5.92920,54.59730],[-5.92902,54.59725],[-5.92892,54.59721],[-5.92872,54.59706],[-5.92871,54.59702],[-5.92869,54.59684],[-5.92867,54.59660],[-5.92864,54.59632],[-5.92860,54.59606],[-5.92852,54.59553],[-5.92990,54.59546],[-5.92985,54.59502],[-5.92974,54.59415],[-5.92959,54.59292],[-5.92985,54.59245],[-5.92994,54.59228],[-5.93003,54.59212],[-5.93009,54.59186],[-5.93014,54.59185],[-5.93034,54.59143],[-5.93058,54.59092],[-5.93068,54.59074],[-5.93113,54.58987],[-5.93113,54.58983],[-5.93112,54.58980],[-5.93172,54.58974],[-5.93197,54.58972],[-5.93230,54.58968],[-5.93291,54.58963],[-5.93347,54.58957],[-5.93365,54.58952],[-5.93369,54.58951],[-5.93377,54.58952],[-5.93398,54.58952],[-5.93418,54.58950],[-5.93428,54.58939],[-5.93432,54.58935],[-5.93448,54.58921],[-5.93514,54.58835],[-5.93517,54.58835],[-5.93551,54.58825],[-5.93558,54.58824]",39163924,2281,425,Dunbar Link / Gordon Street to Bradbury Place,Dunbar Link / Gordon Street ,Bradbury Place
"[-5.92559,54.60232],[-5.92559,54.60227],[-5.92559,54.60211],[-5.92565,54.60209],[-5.92598,54.60211],[-5.92716,54.60220],[-5.92718,54.60213],[-5.92716,54.60207],[-5.92706,54.60195],[-5.92695,54.60182],[-5.92635,54.60120],[-5.92742,54.60083],[-5.92763,54.60079],[-5.92784,54.60072],[-5.92805,54.60064],[-5.92810,54.60059],[-5.92838,54.60069],[-5.92867,54.60089],[-5.93001,54.60149],[-5.93046,54.60168],[-5.93083,54.60184],[-5.93156,54.60211],[-5.93149,54.60192],[-5.93126,54.60133]",39163925,753,140,Dunbar Link / Gordon Street to Royal Avenue / Castlecourt,Dunbar Link / Gordon Street ,Royal Avenue / Castlecourt
"[-5.92559,54.60232],[-5.92559,54.60227],[-5.92559,54.60211],[-5.92565,54.60209],[-5.92598,54.60211],[-5.92716,54.60220],[-5.92718,54.60213],[-5.92716,54.60207],[-5.92706,54.60195],[-5.92695,54.60182],[-5.92635,54.60120],[-5.92580,54.60137]",39163926,291,54,Dunbar Link / Gordon Street to Cotton Court / Waring Street,Dunbar Link / Gordon Street ,Cotton Court / Waring Street
"[-5.92559,54.60232],[-5.92559,54.60227],[-5.92559,54.60211],[-5.92565,54.60209],[-5.92598,54.60211],[-5.92716,54.60220],[-5.92718,54.60213],[-5.92716,54.60207],[-5.92706,54.60195],[-5.92695,54.60182],[-5.92635,54.60120],[-5.92586,54.60068],[-5.92562,54.60044],[-5.92577,54.60039],[-5.92594,54.60034],[-5.92613,54.60027],[-5.92666,54.60009],[-5.92717,54.59992],[-5.92737,54.59985],[-5.92753,54.59980],[-5.92770,54.59970],[-5.92783,54.59966],[-5.92821,54.59953],[-5.92847,54.59944],[-5.92878,54.59938],[-5.92923,54.59933],[-5.93009,54.59924],[-5.93036,54.59918],[-5.93042,54.59907],[-5.93034,54.59853],[-5.93030,54.59820],[-5.93021,54.59745],[-5.93017,54.59739],[-5.93003,54.59729],[-5.92938,54.59732],[-5.92920,54.59730],[-5.92902,54.59725],[-5.92892,54.59721],[-5.92872,54.59706],[-5.92871,54.59702],[-5.92768,54.59707],[-5.92758,54.59630],[-5.92755,54.59611],[-5.92752,54.59610],[-5.92755,54.59608],[-5.92744,54.59512],[-5.92732,54.59422],[-5.92729,54.59387],[-5.92720,54.59316],[-5.92711,54.59242],[-5.92707,54.59241],[-5.92666,54.59232],[-5.92660,54.59231],[-5.92620,54.59222],[-5.92602,54.59218],[-5.92592,54.59215],[-5.92579,54.59212],[-5.92562,54.59203],[-5.92528,54.59194],[-5.92433,54.59169],[-5.92434,54.59165],[-5.92434,54.59162],[-5.92433,54.59157],[-5.92429,54.59153],[-5.92421,54.59150],[-5.92413,54.59148],[-5.92399,54.59149],[-5.92390,54.59147],[-5.92342,54.59134],[-5.92340,54.59129],[-5.92337,54.59125],[-5.92333,54.59123],[-5.92329,54.59121],[-5.92322,54.59118],[-5.92315,54.59117],[-5.92309,54.59117],[-5.92302,54.59118],[-5.92295,54.59119],[-5.92290,54.59121],[-5.92286,54.59123],[-5.92282,54.59127],[-5.92241,54.59116],[-5.92206,54.59107],[-5.92204,54.59110],[-5.92235,54.59118],[-5.92234,54.59119],[-5.92261,54.59127]",39163927,2023,377,Dunbar Link / Gordon Street to Gasworks (Lagan Towpath),Dunbar Link / Gordon Street ,Gasworks (Lagan Towpath)
"[-5.92559,54.60232],[-5.92559,54.60227],[-5.92559,54.60211],[-5.92565,54.60209],[-5.92598,54.60211],[-5.92716,54.60220],[-5.92718,54.60213],[-5.92716,54.60207],[-5.92706,54.60195],[-5.92695,54.60182],[-5.92635,54.60120],[-5.92586,54.60068],[-5.92562,54.60044],[-5.92577,54.60039],[-5.92594,54.60034],[-5.92613,54.60027],[-5.92666,54.60009],[-5.92717,54.59992],[-5.92737,54.59985],[-5.92753,54.59980],[-5.92770,54.59970],[-5.92783,54.59966],[-5.92821,54.59953],[-5.92847,54.59944],[-5.92878,54.59938],[-5.92923,54.59933],[-5.93009,54.59924],[-5.93036,54.59918],[-5.93042,54.59907],[-5.93034,54.59853],[-5.93030,54.59820],[-5.93021,54.59745],[-5.93017,54.59739],[-5.93003,54.59729],[-5.92938,54.59732],[-5.92920,54.59730],[-5.92902,54.59725],[-5.92892,54.59721],[-5.92872,54.59706],[-5.92871,54.59702],[-5.92869,54.59684],[-5.92867,54.59660],[-5.92864,54.59632],[-5.92867,54.59626],[-5.92872,54.59620],[-5.92878,54.59615],[-5.92885,54.59610],[-5.92895,54.59605],[-5.92981,54.59602],[-5.92996,54.59601],[-5.92994,54.59584]",39163928,1205,225,Dunbar Link / Gordon Street to Linenhall Street / Donegall Square South,Dunbar Link / Gordon Street ,Linenhall Street / Donegall Square South
"[-5.92559,54.60232],[-5.92559,54.60227],[-5.92559,54.60211],[-5.92565,54.60209],[-5.92598,54.60211],[-5.92716,54.60220],[-5.92718,54.60213],[-5.92716,54.60207],[-5.92706,54.60195],[-5.92695,54.60182],[-5.92635,54.60120],[-5.92586,54.60068],[-5.92562,54.60044],[-5.92577,54.60039],[-5.92594,54.60034],[-5.92613,54.60027],[-5.92666,54.60009],[-5.92717,54.59992],[-5.92737,54.59985],[-5.92753,54.59980],[-5.92770,54.59970],[-5.92783,54.59966],[-5.92821,54.59953],[-5.92847,54.59944],[-5.92878,54.59938],[-5.92923,54.59933],[-5.93009,54.59924],[-5.93036,54.59918],[-5.93042,54.59907],[-5.93034,54.59853],[-5.93030,54.59820],[-5.93021,54.59745],[-5.93017,54.59739],[-5.93003,54.59729],[-5.92938,54.59732],[-5.92894,54.59733],[-5.92872,54.59734],[-5.92862,54.59735],[-5.92769,54.59739],[-5.92771,54.59757]",39163929,1076,201,Dunbar Link / Gordon Street to Arthur Street / Chichester Street,Dunbar Link / Gordon Street ,Arthur Street / Chichester Street
